id,value,rate,,,rate1,,
BoxOffice.1998.Action.Enemy of the State,111544445,1.8,,,7.3,3.1,13.95
BoxOffice.1998.Action.Lethal Weapon 4,129734803,1.8,,,6.6,2.4,10.8
BoxOffice.1998.Action.Saving Private Ryan,216119491,3,,,8.6,4.4,19.8
BoxOffice.1998.Adventure.A Bug's Life,162792677,1.8,,,7.2,3,13.5
BoxOffice.1998.Adventure.Armageddon,201573391,1.8,,,6.6,2.4,10.8
BoxOffice.1998.Adventure.Mulan,120618403,2.4,,,7.5,3.3,14.85
BoxOffice.1998.Adventure.The Prince of Egypt,101217900,1.8,,,7,2.8,12.6
BoxOffice.1998.Adventure.The Rugrats Movie,100491683,1.2,,,5.9,1.7,7.65
BoxOffice.1998.Animation.A Bug's Life,162792677,1.8,,,7.2,3,13.5
BoxOffice.1998.Animation.Mulan,120618403,2.4,,,7.5,3.3,14.85
BoxOffice.1998.Animation.The Prince of Egypt,101217900,1.8,,,7,2.8,12.6
BoxOffice.1998.Animation.The Rugrats Movie,100491683,1.2,,,5.9,1.7,7.65
BoxOffice.1998.Biography.Patch Adams,135014968,1.8,,,6.7,2.5,11.25
BoxOffice.1998.Comedy.Doctor Dolittle,144156464,0.6,,,5.3,1.1,4.95
BoxOffice.1998.Comedy.Patch Adams,135014968,1.8,,,6.7,2.5,11.25
BoxOffice.1998.Comedy.The Truman Show,125603360,2.4,,,8.1,3.9,17.55
BoxOffice.1998.Comedy.The Waterboy,161487252,1.2,,,6.1,1.9,8.55
BoxOffice.1998.Comedy.There's Something About Mary,176483808,1.8,,,7.1,2.9,13.05
BoxOffice.1998.Comedy.You've Got Mail,115731542,1.8,,,6.5,2.3,10.35
BoxOffice.1998.Crime.Enemy of the State,111544445,1.8,,,7.3,3.1,13.95
BoxOffice.1998.Crime.Lethal Weapon 4,129734803,1.8,,,6.6,2.4,10.8
BoxOffice.1998.Drama.Deep Impact,140459099,1.2,,,6.1,1.9,8.55
BoxOffice.1998.Drama.Saving Private Ryan,216119491,3,,,8.6,4.4,19.8
BoxOffice.1998.Drama.The Truman Show,125603360,2.4,,,8.1,3.9,17.55
BoxOffice.1998.Drama.You've Got Mail,115731542,1.8,,,6.5,2.3,10.35
BoxOffice.1998.Family.Doctor Dolittle,144156464,0.6,,,5.3,1.1,4.95
BoxOffice.1998.Romance.There's Something About Mary,176483808,1.8,,,7.1,2.9,13.05
BoxOffice.1998.Sport.The Waterboy,161487252,1.2,,,6.1,1.9,8.55
BoxOffice.1999.Action.Austin Powers: The Spy Who Shagged Me,205399422,1.8,,,6.6,2.4,10.8
BoxOffice.1999.Action.Star Wars: Episode I - The Phantom Menace,474544677,1.8,,,6.5,2.3,10.35
BoxOffice.1999.Action.The Matrix,171383253,3,,,8.7,4.5,20.25
BoxOffice.1999.Action.The World Is Not Enough,126930660,1.2,,,6.4,2.2,9.9
BoxOffice.1999.Action.Wild Wild West,113745408,0.6,,,4.8,0.6,2.7
BoxOffice.1999.Adventure.Austin Powers: The Spy Who Shagged Me,205399422,1.8,,,6.6,2.4,10.8
BoxOffice.1999.Adventure.Star Wars: Episode I - The Phantom Menace,474544677,1.8,,,6.5,2.3,10.35
BoxOffice.1999.Adventure.Stuart Little,140015224,1.2,,,5.9,1.7,7.65
BoxOffice.1999.Adventure.The World Is Not Enough,126930660,1.2,,,6.4,2.2,9.9
BoxOffice.1999.Adventure.Toy Story 2,245823397,2.4,,,7.9,3.7,16.65
BoxOffice.1999.Animation.Toy Story 2,245823397,2.4,,,7.9,3.7,16.65
BoxOffice.1999.Comedy.Big Daddy,163479795,1.2,,,6.4,2.2,9.9
BoxOffice.1999.Comedy.Notting Hill,116006080,1.8,,,7,2.8,12.6
BoxOffice.1999.Comedy.Runaway Bride,152149590,1.2,,,5.5,1.3,5.85
BoxOffice.1999.Comedy.Stuart Little,140015224,1.2,,,5.9,1.7,7.65
BoxOffice.1999.Comedy.Wild Wild West,113745408,0.6,,,4.8,0.6,2.7
BoxOffice.1999.Crime.Double Jeopardy,116735231,1.2,,,6.4,2.2,9.9
BoxOffice.1999.Crime.The Green Mile,136801374,3,,,8.5,4.3,19.35
BoxOffice.1999.Drama.Big Daddy,163479795,1.2,,,6.4,2.2,9.9
BoxOffice.1999.Drama.Notting Hill,116006080,1.8,,,7,2.8,12.6
BoxOffice.1999.Drama.The Green Mile,136801374,3,,,8.5,4.3,19.35
BoxOffice.1999.Drama.The Sixth Sense,293501675,2.4,,,8.1,3.9,17.55
BoxOffice.1999.Mystery.Double Jeopardy,116735231,1.2,,,6.4,2.2,9.9
BoxOffice.1999.Mystery.The Sixth Sense,293501675,2.4,,,8.1,3.9,17.55
BoxOffice.1999.Romance.Runaway Bride,152149590,1.2,,,5.5,1.3,5.85
BoxOffice.1999.Sci-Fi.The Matrix,171383253,3,,,8.7,4.5,20.25
BoxOffice.2000.Action.Charlie's Angels,125305545,1.2,,,5.5,1.3,5.85
"BoxOffice.2000.Action.Crouching Tiger, Hidden Dragon",128067808,2.4,,,7.9,3.7,16.65
BoxOffice.2000.Action.Gladiator,187670866,3,,,8.5,4.3,19.35
BoxOffice.2000.Action.Mission: Impossible II,215397307,1.2,,,6.1,1.9,8.55
BoxOffice.2000.Action.The Perfect Storm,182618434,1.2,,,6.4,2.2,9.9
BoxOffice.2000.Action.X-Men,157299717,1.8,,,7.4,3.2,14.4
BoxOffice.2000.Adventure.Cast Away,233630478,2.4,,,7.7,3.5,15.75
BoxOffice.2000.Adventure.Charlie's Angels,125305545,1.2,,,5.5,1.3,5.85
BoxOffice.2000.Adventure.Dinosaur,137748063,1.8,,,6.5,2.3,10.35
BoxOffice.2000.Adventure.Mission: Impossible II,215397307,1.2,,,6.1,1.9,8.55
BoxOffice.2000.Adventure.The Perfect Storm,182618434,1.2,,,6.4,2.2,9.9
BoxOffice.2000.Adventure.X-Men,157299717,1.8,,,7.4,3.2,14.4
BoxOffice.2000.Animation.Dinosaur,137748063,1.8,,,6.5,2.3,10.35
BoxOffice.2000.Biography.Erin Brockovich,125548685,1.8,,,7.3,3.1,13.95
BoxOffice.2000.Comedy.How the Grinch Stole Christmas,260031035,1.2,,,6,1.8,8.1
BoxOffice.2000.Comedy.Nutty Professor II: The Klumps,123307945,0,,,4.3,0.1,0.45
BoxOffice.2000.Comedy.What Women Want,182805123,1.2,,,6.4,2.2,9.9
BoxOffice.2000.Crime.Traffic,124107476,2.4,,,7.6,3.4,15.3
BoxOffice.2000.Drama.Cast Away,233630478,2.4,,,7.7,3.5,15.75
"BoxOffice.2000.Drama.Crouching Tiger, Hidden Dragon",128067808,2.4,,,7.9,3.7,16.65
BoxOffice.2000.Drama.Erin Brockovich,125548685,1.8,,,7.3,3.1,13.95
BoxOffice.2000.Drama.Gladiator,187670866,3,,,8.5,4.3,19.35
BoxOffice.2000.Drama.Traffic,124107476,2.4,,,7.6,3.4,15.3
BoxOffice.2000.Drama.What Lies Beneath,155370362,1.8,,,6.6,2.4,10.8
BoxOffice.2000.Family.How the Grinch Stole Christmas,260031035,1.2,,,6,1.8,8.1
BoxOffice.2000.Fantasy.What Lies Beneath,155370362,1.8,,,6.6,2.4,10.8
BoxOffice.2000.Fantasy.What Women Want,182805123,1.2,,,6.4,2.2,9.9
BoxOffice.2000.Romance.Nutty Professor II: The Klumps,123307945,0,,,4.3,0.1,0.45
